%time powercore powersram powertrans tempcore tempsram temptrans
3.466 0.19745 1.46737 0.38215 1.9806150801 1.48392072991 1.34354063153
3.467 0.20354 1.4652 0.40096 1.99518677359 1.48352000154 1.35468564798
3.468 0.19739 1.46737 0.38215 1.99633878856 1.48351203319 1.35590846667
3.469 0.19715 1.46737 0.38215 1.97979659569 1.48400875209 1.34362779535
3.47 0.20412 1.4652 0.40096 1.99589782405 1.48360851777 1.3547748875
3.471 0.19709 1.46737 0.38215 1.99721774164 1.48360241062 1.35599590385
3.472 0.19727 1.46737 0.38215 1.97952720031 1.48409863391 1.34371746754
3.473 0.20412 1.4652 0.40096 1.99628944845 1.48369813632 1.35486322183
3.474 0.19765 1.46737 0.38215 1.99886064852 1.4836942495 1.35608642712
3.475 0.19719 1.46737 0.38215 1.98112823239 1.48419277001 1.3438078607
3.476 0.20298 1.4652 0.40096 1.99332966247 1.4837880821 1.35495518865
3.477 0.19693 1.46737 0.38215 1.99359260724 1.48377508692 1.35617529175
3.478 0.19715 1.46737 0.38215 1.97835140493 1.48426952596 1.34389417118
3.479 0.20365 1.4652 0.40096 1.99454021047 1.48386861663 1.35503801446
3.48 0.19778 1.46737 0.38215 1.9977847857 1.48386355682 1.35625899465
3.481 0.19719 1.46737 0.38215 1.98138731861 1.48436361043 1.34397978349
3.482 0.20376 1.4652 0.40096 1.99556945778 1.48396325261 1.35512768268
3.483 0.19739 1.46737 0.38215 1.99737203031 1.48395647293 1.3563506134
3.484 0.19733 1.46737 0.38215 1.98080901231 1.48445473015 1.34407295239
3.485 0.20334 1.4652 0.40096 1.99480932044 1.48405292263 1.35522002123
3.486 0.19695 1.46737 0.38215 1.99500420477 1.48404269693 1.35644181627
3.487 0.19719 1.46737 0.38215 1.97897245801 1.48453768481 1.34416138261
3.488 0.20362 1.4652 0.40096 1.99492249696 1.48413657294 1.35530683651
3.489 0.19753 1.46737 0.38215 1.99733658995 1.48413058372 1.35652794791
